FIPS,State Name,State,2014 Food Insecurity Rate,# of Food Insecure Persons in 2014 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2014 Child Food Insecurity Rate,# of Food Insecure Children in 2014,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2014,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2014,2014 Cost Per Meal,2014 Weighted Annual Food Budget Shortfall
21,Kentucky,KY,16.8%,"743,310",130%,SNAP,185%,Other Nutrition Program,57.3%,12.9%,29.8%,21.9%,"222,380",75%,25%,$2.64,"$346,164,000"
22,Louisiana,LA,17.3%,"804,500",130%,SNAP,185%,Other Nutrition Program,56.6%,12.9%,30.5%,24.5%,"272,760",70%,30%,$2.82,"$399,842,000"
23,Maine,ME,15.3%,"202,910",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.7%,,39.3%,23.3%,"60,010",64%,36%,$3.27,"$117,204,000"
24,Maryland,MD,12.7%,"760,300",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.2%,,38.8%,18.3%,"247,560",59%,41%,$2.94,"$395,238,000"
25,Massachusetts,MA,11.1%,"745,470",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.7%,,33.3%,15.1%,"210,050",63%,37%,$3.17,"$417,299,000"
26,Michigan,MI,15.7%,"1,559,020",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.8%,,25.2%,19.7%,"437,100",68%,32%,$2.70,"$744,203,000"
27,Minnesota,MN,10.4%,"568,770",165%,SNAP,185%,Other Nutrition Program,58.9%,3.3%,37.7%,15.2%,"195,660",65%,35%,$2.88,"$288,846,000"
28,Mississippi,MS,22.3%,"667,040",130%,SNAP,185%,Other Nutrition Program,55.1%,15.3%,29.5%,27.4%,"200,600",73%,27%,$2.88,"$338,917,000"
29,Missouri,MO,16.8%,"1,019,350",130%,SNAP,185%,Other Nutrition Program,50.0%,16.5%,33.5%,20.8%,"289,210",66%,34%,$2.67,"$480,486,000"
30,Montana,MT,13.6%,"139,140",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.6%,,30.4%,20.1%,"45,110",63%,37%,$2.83,"$69,518,000"
31,Nebraska,NE,13.0%,"245,160",130%,SNAP,185%,Other Nutrition Program,43.4%,13.3%,43.3%,19.7%,"92,230",61%,39%,$2.75,"$118,963,000"
32,Nevada,NV,14.9%,"423,210",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",77.8%,,22.2%,24.3%,"161,260",68%,32%,$2.90,"$216,359,000"
33,New Hampshire,NH,10.5%,"139,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",51.1%,,48.9%,15.5%,"41,350",55%,45%,$3.10,"$76,411,000"
34,New Jersey,NJ,11.8%,"1,051,880",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.0%,,36.0%,16.8%,"338,690",65%,35%,$2.98,"$552,797,000"
35,New Mexico,NM,17.2%,"358,770",165%,SNAP,185%,Other Nutrition Program,71.0%,3.8%,25.1%,27.2%,"136,070",75%,25%,$2.77,"$175,620,000"
36,New York,NY,13.5%,"2,672,460",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.1%,,24.9%,20.9%,"884,170",68%,32%,$2.97,"$1,400,548,000"
37,North Carolina,NC,17.7%,"1,764,800",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.4%,,25.6%,24.6%,"564,240",72%,28%,$2.81,"$875,736,000"
38,North Dakota,ND,8.0%,"59,320",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.6%,,40.4%,11.4%,"19,070",55%,45%,$2.92,"$30,599,000"
39,Ohio,OH,16.8%,"1,943,340",130%,SNAP,185%,Other Nutrition Program,52.3%,12.9%,34.7%,23.8%,"628,580",67%,33%,$2.66,"$911,848,000"
40,Oklahoma,OK,16.8%,"652,090",130%,SNAP,185%,Other Nutrition Program,49.9%,15.6%,34.5%,23.8%,"226,390",65%,35%,$2.78,"$320,603,000"
41,Oregon,OR,15.2%,"605,100",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.0%,,26.0%,24.5%,"210,290",68%,32%,$2.84,"$303,833,000"
42,Pennsylvania,PA,13.8%,"1,760,450",160%,SNAP,185%,Other Nutrition Program,57.7%,5.3%,37.0%,19.3%,"521,750",65%,35%,$2.88,"$895,714,000"
44,Rhode Island,RI,14.0%,"147,460",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.9%,,36.1%,20.3%,"43,210",70%,30%,$2.93,"$76,405,000"
45,South Carolina,SC,16.4%,"794,590",130%,SNAP,185%,Other Nutrition Program,56.4%,15.9%,27.7%,23.4%,"253,340",71%,29%,$2.80,"$393,252,000"
46,South Dakota,SD,12.4%,"105,880",130%,SNAP,185%,Other Nutrition Program,46.0%,13.2%,40.8%,18.5%,"39,030",63%,37%,$2.92,"$54,553,000"
47,Tennessee,TN,16.9%,"1,103,580",130%,SNAP,185%,Other Nutrition Program,56.0%,16.5%,27.5%,24.0%,"357,920",72%,28%,$2.89,"$562,556,000"
48,Texas,TX,17.0%,"4,578,670",165%,SNAP,185%,Other Nutrition Program,63.6%,4.5%,31.9%,25.6%,"1,821,820",67%,33%,$2.53,"$2,045,312,000"
49,Utah,UT,14.2%,"416,670",130%,SNAP,185%,Other Nutrition Program,43.8%,15.9%,40.4%,18.2%,"164,440",55%,45%,$2.78,"$204,334,000"
50,Vermont,VT,13.5%,"84,870",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.3%,,39.7%,19.1%,"23,310",59%,41%,$3.28,"$49,174,000"
51,Virginia,VA,11.8%,"983,880",130%,SNAP,185%,Other Nutrition Program,48.6%,16.9%,34.5%,16.0%,"299,050",64%,36%,$3.01,"$523,149,000"
53,Washington,WA,13.7%,"970,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.4%,,30.6%,21.0%,"337,320",61%,39%,$2.90,"$497,509,000"
54,West Virginia,WV,15.3%,"282,900",130%,SNAP,185%,Other Nutrition Program,51.4%,13.7%,34.8%,21.5%,"82,220",68%,32%,$2.68,"$133,864,000"
55,Wisconsin,WI,11.9%,"687,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.9%,,29.1%,19.1%,"248,570",64%,36%,$2.66,"$322,748,000"
56,Wyoming,WY,12.6%,"73,400",130%,SNAP,185%,Other Nutrition Program,42.7%,14.4%,42.8%,16.8%,"23,130",57%,43%,$3.04,"$39,387,000"
